nombre,edad,correo,genero,provincia,ciudad,disponibilidad,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades,photo,latitud,longitud
Rosella Klotz,43,RosellaKlotz@micorreo.es,mujer,Lugo,Barreiros,estresemana,noche,disco,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1630.jpg,-8.8159644,-35.1831905
Jenell Dehmani,35,JenellDehmani@micorreo.es,mujer,Huesca,Sangarrén,find de semana,noche,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1468.jpg,42.0177631,-0.4326064
Shanay Jura,28,ShanayJura@micorreo.es,mujer,Albacete,Hoya-gonzalo,estresemana,mañana,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/837.jpg,38.9577553,-1.5560966
Somer De sanctis,80,SomerDe sanctis@micorreo.es,hombre,Asturias,Sobrescobio,find de semana,mañana,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1423.jpg,43.193853950000005,-5.462239937212074
Blair Hampshire,78,BlairHampshire@micorreo.es,hombre,Caceres,Conquista de la sierra,estresemana,mañana,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/789.jpg,39.3509692,-5.7342844
Loryn Talin,51,LorynTalin@micorreo.es,mujer,Huesca,Peraltilla,find de semana,mañana,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/474.jpg,42.0522945,-0.0188055
Shamira Sanchez garnica,87,ShamiraSanchez garnica@micorreo.es,otro,Sevilla,Villaverde del río,estresemana,tarde,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1068.jpg,37.591905,-5.875939
Riva Gimenez salinas,45,RivaGimenez salinas@micorreo.es,hombre,Valencia,Montroy,find de semana,tarde,disco,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1002.jpg,46.1553243,-1.0114987
Lazar Aspajo,44,LazarAspajo@micorreo.es,mujer,Valladolid,Aldeamayor de san martín,find de semana,noche,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1963.jpg,41.5121927,-4.6398863
Leopold Belov,58,LeopoldBelov@micorreo.es,mujer,Soria,Liceras,estresemana,mañana,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/479.jpg,41.3797605,-3.2438097
Kenneth Toco,19,KennethToco@micorreo.es,hombre,Valencia,Benimodo,find de semana,tarde,disco,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1453.jpg,39.2135344,-0.5267415
Stefano Chitoran,18,StefanoChitoran@micorreo.es,mujer,La_rioja,Santo domingo de la calzada,estresemana,mañana,disco,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1920.jpg,42.4406711,-2.9536395
Humphrey Rahioui,28,HumphreyRahioui@micorreo.es,hombre,Cantabria,Santa cruz de bezana,estresemana,noche,bar,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/301.jpg,43.4429266,-3.9048376
Kelci Quaye,68,KelciQuaye@micorreo.es,hombre,Cantabria,Arredondo,estresemana,mañana,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1584.jpg,43.2745077,-3.6016764
Corena Irastortza,60,CorenaIrastortza@micorreo.es,mujer,Salamanca,"Orbada, la",find de semana,tarde,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/80.jpg,41.0860413,-5.4667302
Mitchelle Ceausila,99,MitchelleCeausila@micorreo.es,hombre,Navarra,Lapoblación,estresemana,tarde,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/990.jpg,42.59275605,-2.4623092063252083
Jonatan Turumbay,68,JonatanTurumbay@micorreo.es,hombre,Caceres,Torremocha,estresemana,mañana,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/840.jpg,39.3456532,-6.1728733
Sadi Rabih,86,SadiRabih@micorreo.es,hombre,Granada,Padul,find de semana,mañana,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/977.jpg,37.0222913,-3.6274938
Charda Bourhail,99,ChardaBourhail@micorreo.es,mujer,Caceres,Toril,estresemana,tarde,bar,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1396.jpg,39.8973513,-5.7805381
Alisha Pagadigorria,27,AlishaPagadigorria@micorreo.es,hombre,Ceuta,Ceuta,estresemana,tarde,bar,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1729.jpg,35.89442195,-5.355817352394269
Katoya Galiñanez,85,KatoyaGaliñanez@micorreo.es,mujer,Granada,Jayena,find de semana,tarde,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/366.jpg,36.9490364,-3.8228407
Samarra Al mansouri,49,SamarraAl mansouri@micorreo.es,mujer,Cantabria,Pesquera,estresemana,noche,disco,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1500.jpg,43.0820241,-4.0789718
Aadil Budean,64,AadilBudean@micorreo.es,mujer,Huesca,Grañén,estresemana,mañana,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/331.jpg,41.940564,-0.3693363
Tamela Afanasyeva,95,TamelaAfanasyeva@micorreo.es,hombre,Teruel,Seno,estresemana,noche,bar,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/372.jpg,40.8125959,-0.3377435
Perlita Panescu,51,PerlitaPanescu@micorreo.es,hombre,Guipuzcoa,Legazpi,find de semana,mañana,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1068.jpg,43.051235,-2.3344403
Shenequa Belhouari,69,ShenequaBelhouari@micorreo.es,hombre,Caceres,Plasencia,find de semana,mañana,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1504.jpg,40.029921,-6.090168
Zulma Panaitescu,82,ZulmaPanaitescu@micorreo.es,mujer,Valladolid,Pozuelo de la orden,estresemana,mañana,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/901.jpg,41.82224,-5.25906
Yukari Bogaz,66,YukariBogaz@micorreo.es,mujer,Granada,Alamedilla,find de semana,mañana,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/624.jpg,37.5816313,-3.2443845
Rumaldo Funollet,41,RumaldoFunollet@micorreo.es,hombre,Las_palmas,Arucas,estresemana,tarde,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1100.jpg,28.1184492,-15.5232237
Emile Moghli,41,EmileMoghli@micorreo.es,mujer,Asturias,Mieres,estresemana,mañana,bar,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1005.jpg,43.2488161,-5.7722468
Shaylyn Garcia seco,25,ShaylynGarcia seco@micorreo.es,mujer,Lugo,"Saviñao, o",estresemana,noche,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/545.jpg,42.5820824,-7.6289632
Kellie Fernandez liencres,91,KellieFernandez liencres@micorreo.es,mujer,Zamora,Castroverde de campos,find de semana,mañana,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1704.jpg,41.9704829,-5.3145849
Velina Chancosa,86,VelinaChancosa@micorreo.es,mujer,La_rioja,Lardero,estresemana,noche,bar,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/635.jpg,42.4272883,-2.4624393
Barri Galdanes,93,BarriGaldanes@micorreo.es,hombre,Ourense,Vilar de santos,estresemana,noche,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1067.jpg,42.0871643,-7.7945799
Noa Aakid,94,NoaAakid@micorreo.es,hombre,La_rioja,Haro,find de semana,mañana,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2022.jpg,42.5768922,-2.8466768
Scott Cañizarez,72,ScottCañizarez@micorreo.es,hombre,Zaragoza,Isuerre,estresemana,tarde,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/60.jpg,42.4883445,-1.0559251
Rittany Alforja,59,RittanyAlforja@micorreo.es,mujer,Albacete,Socovos,find de semana,noche,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/942.jpg,38.333635,-1.9836294
Maryfrances Urtecho,19,MaryfrancesUrtecho@micorreo.es,mujer,Jaen,Cazorla,estresemana,mañana,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1843.jpg,37.9128927,-3.0038873
Arvell Fornons,59,ArvellFornons@micorreo.es,hombre,Malaga,Fuengirola,estresemana,tarde,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1793.jpg,36.5388398,-4.6233974
Aryn Aserraf,23,ArynAserraf@micorreo.es,hombre,Ciudad_real,Alamillo,estresemana,mañana,bar,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1422.jpg,38.6780447,-4.7899773
Florence Abrie,91,FlorenceAbrie@micorreo.es,hombre,Albacete,San pedro,find de semana,tarde,disco,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/948.jpg,9.39663005,-75.03354633922669
Johnathn Guzu,51,JohnathnGuzu@micorreo.es,hombre,Jaen,Fuensanta de martos,estresemana,mañana,disco,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1271.jpg,37.6462911,-3.9110221
Armida Same,84,ArmidaSame@micorreo.es,hombre,Vizcaya,Morga,estresemana,mañana,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1561.jpg,43.3000301,-2.752374
Keil Tirdea,36,KeilTirdea@micorreo.es,hombre,Islas_baleares,Santa maría del camí,find de semana,noche,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/184.jpg,39.6479453,2.7779083
Alonda Xaixo,29,AlondaXaixo@micorreo.es,mujer,Soria,Cihuela,find de semana,tarde,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1709.jpg,41.4066105,-2.0000298
Shaheen Bañal,84,ShaheenBañal@micorreo.es,hombre,Castellon,Fuentes de ayódar,find de semana,mañana,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1499.jpg,40.0208981,-0.4197803
Lamisha Mihova,57,LamishaMihova@micorreo.es,mujer,Badajoz,Aljucén,estresemana,noche,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1602.jpg,39.0446386,-6.331345
Seqouia Chinique,81,SeqouiaChinique@micorreo.es,mujer,Navarra,Igúzquiza,find de semana,mañana,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/414.jpg,42.6463063,-2.0847845
Dashelle Radillo,25,DashelleRadillo@micorreo.es,mujer,Valencia,Rugat,estresemana,noche,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1504.jpg,38.8792847,-0.36232
Minda Caseny,79,MindaCaseny@micorreo.es,mujer,Salamanca,Espadaña,find de semana,mañana,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1061.jpg,41.0622425,-6.2852703
Kylene Chiyah,87,KyleneChiyah@micorreo.es,hombre,Zamora,Fuentesecas,find de semana,noche,disco,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/60.jpg,41.6305782,-5.4728015
Carlos Himmich,78,CarlosHimmich@micorreo.es,mujer,Palencia,Cevico navero,find de semana,noche,bar,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/839.jpg,41.8618652,-4.184837
Naaman Baga,81,NaamanBaga@micorreo.es,hombre,Huelva,Bollullos par del condado,find de semana,tarde,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/429.jpg,37.3382055,-6.5384658
Olympia Studer,26,OlympiaStuder@micorreo.es,mujer,Avila,Bohoyo,estresemana,tarde,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/33.jpg,40.3162123,-5.4419845
Muna Martinez de zabarte,36,MunaMartinez de zabarte@micorreo.es,mujer,Murcia,Santomera,find de semana,noche,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1131.jpg,38.0615839,-1.0490938
Konrad Zouak,60,KonradZouak@micorreo.es,mujer,Cantabria,Herrerías,estresemana,noche,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1760.jpg,43.3081749,-4.4683661184050365
Jerimie Avarvarei,58,JerimieAvarvarei@micorreo.es,hombre,Granada,Albuñol,estresemana,mañana,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/304.jpg,36.7913663,-3.2035944
Jorell Postico,36,JorellPostico@micorreo.es,hombre,Salamanca,"Santos, los",estresemana,mañana,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1920.jpg,-12.007046,-77.0636678
Danella Hooker,27,DanellaHooker@micorreo.es,mujer,Guadalajara,Moratilla de los meleros,estresemana,tarde,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1341.jpg,40.501252,-2.942882
Johnn Puvill,46,JohnnPuvill@micorreo.es,hombre,Cuenca,Casas de garcimolina,estresemana,tarde,bar,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1049.jpg,39.9977629,-1.4183301
Darcy Yataco,19,DarcyYataco@micorreo.es,hombre,Leon,Encinedo,find de semana,mañana,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1741.jpg,42.2701853,-6.5931177
Endre Spengler,90,EndreSpengler@micorreo.es,hombre,Leon,Garrafe de torío,estresemana,noche,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/727.jpg,42.730915,-5.5233043
Jameisha Khelil,55,JameishaKhelil@micorreo.es,mujer,Asturias,Salas,find de semana,noche,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1941.jpg,43.4079447,-6.257951397030386
Sianna Alcaut,87,SiannaAlcaut@micorreo.es,mujer,Zaragoza,Arándiga,find de semana,mañana,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1678.jpg,41.5092551,-1.4998265
Lorinda Cozens,52,LorindaCozens@micorreo.es,mujer,Sevilla,Umbrete,find de semana,mañana,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1252.jpg,37.368665,-6.1573611
Mikel Di martino,50,MikelDi martino@micorreo.es,mujer,Navarra,Zugarramurdi,find de semana,mañana,bar,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/180.jpg,43.2693436,-1.5416354
Tascha Pevidad,92,TaschaPevidad@micorreo.es,hombre,Ciudad_real,Alcázar de san juan,estresemana,tarde,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1935.jpg,39.3899806,-3.2101376
Daviel Fernandez velasco,95,DavielFernandez velasco@micorreo.es,hombre,Burgos,Villaverde del monte,estresemana,tarde,disco,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1958.jpg,42.160431,-3.8151528
Eleazar Zalewski,66,EleazarZalewski@micorreo.es,mujer,Zaragoza,Lituénigo,estresemana,noche,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1559.jpg,41.8357678,-1.7608154
Babak Amendola,30,BabakAmendola@micorreo.es,mujer,Melilla,Melilla,estresemana,tarde,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1633.jpg,35.29291145,-2.950720236037561
Kenika De echegaray,43,KenikaDe echegaray@micorreo.es,mujer,Pontevedra,Vilaboa,estresemana,noche,bar,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/399.jpg,42.3466976,-8.6556902
Cassie Carrazon,73,CassieCarrazon@micorreo.es,mujer,La_rioja,Corera,estresemana,mañana,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1170.jpg,42.3432001,-2.2193738
Elanda Duraho,81,ElandaDuraho@micorreo.es,hombre,Santa_cruz_de_tenerife,"Silos, los",find de semana,noche,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1713.jpg,20.95175165,-102.66681862419577
Prudencio Maide,53,PrudencioMaide@micorreo.es,otro,Girona,Serinyà,estresemana,mañana,bar,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/838.jpg,42.1687245,2.7448646
Temitope Carin,56,TemitopeCarin@micorreo.es,mujer,Teruel,Orihuela del tremedal,estresemana,noche,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/616.jpg,40.5507519,-1.6504341
Mariadelaluz Balestra,52,MariadelaluzBalestra@micorreo.es,hombre,Caceres,Piedras albas,estresemana,noche,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1728.jpg,39.783277,-6.9254281
Jaems Escuain,49,JaemsEscuain@micorreo.es,hombre,Leon,Valderas,estresemana,mañana,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1572.jpg,42.0787776,-5.444744
Dionicio De puelles,72,DionicioDe puelles@micorreo.es,hombre,Ourense,"Blancos, os",estresemana,tarde,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/451.jpg,41.9996574,-7.755082
Akiva Garcia barrios,88,AkivaGarcia barrios@micorreo.es,hombre,Castellon,Sant mateu,estresemana,tarde,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1881.jpg,40.4650329,0.1793192
Creighton Bayram,67,CreightonBayram@micorreo.es,mujer,Murcia,Bullas,estresemana,mañana,bar,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1464.jpg,38.0497852,-1.6703391
Shequila Druta,30,ShequilaDruta@micorreo.es,mujer,Santa_cruz_de_tenerife,San cristóbal de la laguna,find de semana,tarde,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/954.jpg,28.4857715,-16.3159422
Velicia Mansfield,49,VeliciaMansfield@micorreo.es,mujer,Las_palmas,Santa brígida,estresemana,tarde,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/837.jpg,-9.7343772,-38.1259256
Ildefonso Marcoartu,96,IldefonsoMarcoartu@micorreo.es,mujer,Castellon,Vall d'alba,estresemana,noche,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1850.jpg,40.17587,-0.0350962
Christee Seras,40,ChristeeSeras@micorreo.es,mujer,Toledo,Mesegar de tajo,estresemana,mañana,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/957.jpg,39.9253874,-4.5020573
Jehna Montsech,24,JehnaMontsech@micorreo.es,mujer,Vizcaya,Plentzia,find de semana,tarde,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1006.jpg,43.4051753,-2.9478553
Cicily Sambartolome,83,CicilySambartolome@micorreo.es,hombre,Teruel,"Cuba, la",find de semana,mañana,bar,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/950.jpg,32.4281952,-88.3764211
Craig Aconda,26,CraigAconda@micorreo.es,mujer,Murcia,Librilla,find de semana,tarde,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/48.jpg,37.8855696,-1.3548724
Emmanuel Maffiotte,79,EmmanuelMaffiotte@micorreo.es,hombre,Teruel,Vivel del río martín,find de semana,tarde,bar,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/842.jpg,40.8700865,-0.9404566
Chaim Anev,92,ChaimAnev@micorreo.es,mujer,Huelva,Gibraleón,estresemana,tarde,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/920.jpg,37.3746324,-6.9690748
Shin Cherroud,90,ShinCherroud@micorreo.es,hombre,Salamanca,Pajares de la laguna,estresemana,noche,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1110.jpg,41.0875757,-5.5090893
Danylle Feurdean,55,DanylleFeurdean@micorreo.es,hombre,Ceuta,Ceuta,find de semana,tarde,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/286.jpg,35.89442195,-5.355817352394269
Tiffiany Galvarro,99,TiffianyGalvarro@micorreo.es,mujer,Salamanca,Mancera de abajo,estresemana,mañana,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1481.jpg,40.8398631,-5.1989493
Sada Lentini,49,SadaLentini@micorreo.es,mujer,Jaen,Noalejo,estresemana,noche,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/342.jpg,37.5290214,-3.6542166
Kanesha Petrican,35,KaneshaPetrican@micorreo.es,hombre,Tarragona,Porrera,estresemana,tarde,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1347.jpg,41.1887429,0.8561314
Prentice Lopez belmonte,66,PrenticeLopez belmonte@micorreo.es,hombre,Guipuzcoa,Andoain,find de semana,noche,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/342.jpg,43.2183411,-2.0199432
Gabriela Chillogallo,32,GabrielaChillogallo@micorreo.es,mujer,Murcia,Aledo,estresemana,tarde,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1809.jpg,32.69900905,-97.60396629774493
Shameek Carreras candi,20,ShameekCarreras candi@micorreo.es,hombre,Palencia,Reinoso de cerrato,estresemana,noche,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1828.jpg,41.9765269,-4.3829532
Kianna Molinello,21,KiannaMolinello@micorreo.es,hombre,Granada,Albuñán,estresemana,mañana,bar,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1549.jpg,37.2270817,-3.1331968
Lamia Vaidean,39,LamiaVaidean@micorreo.es,hombre,Albacete,Elche de la sierra,find de semana,mañana,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/324.jpg,38.4483634,-2.0489954
Antwaine Daunas,85,AntwaineDaunas@micorreo.es,mujer,Madrid,Getafe,estresemana,noche,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/340.jpg,40.3081807,-3.7302679
Tiffaney Tarramera,48,TiffaneyTarramera@micorreo.es,hombre,Cantabria,Santander,find de semana,mañana,bar,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/93.jpg,43.4620412,-3.8099719
Neelam Okundia,91,NeelamOkundia@micorreo.es,mujer,Malaga,"Borge, el",find de semana,noche,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1484.jpg,36.8115297,-4.2195715
Rozanne Codrean,62,RozanneCodrean@micorreo.es,hombre,A_coruna,Vilasantar,estresemana,tarde,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1668.jpg,43.0761215,-8.095942075102961
Cuyler Sinche,50,CuylerSinche@micorreo.es,hombre,Cadiz,Medina-sidonia,find de semana,noche,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/978.jpg,36.4576714,-5.9272725
