nombre,edad,genero,provincia,ciudad,pizza,lugar_comida,musica,mus_relajada,mus_rapida,salir,actividades,photo,latitud,longitud
Jarmel Garcia doncel,58,hombre,Palencia,Fuentes de nava,find de semana,noche,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1057.jpg,42.0825955,-4.7826439
Fabio Villaba,48,otro,Barcelona,Manlleu,find de semana,tarde,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1075.jpg,41.9999811,2.2841159
Jamez Raceala,53,mujer,La_rioja,Tobía,find de semana,mañana,bar,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/999.jpg,42.2985881,-2.8144293
Katheleen Soaje,52,hombre,Guipuzcoa,Oñati,estresemana,noche,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1450.jpg,43.0328523,-2.4137149
Brittnie Beringues,73,otro,Lugo,Mondoñedo,estresemana,mañana,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/195.jpg,43.4296687,-7.3638814
Erickson Holzmann,92,mujer,Huelva,Higuera de la sierra,find de semana,tarde,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/794.jpg,37.8365154,-6.4478855
Carling Zarandieta,20,hombre,Huesca,Antillón,find de semana,tarde,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/2026.jpg,42.0355728,-0.1611943
Arthur Plank,86,mujer,La_rioja,Ventrosa,find de semana,tarde,bar,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1254.jpg,42.1557741,-2.8521104
Delicia Picuasi,76,hombre,Jaen,"Guardia de jaén, la",estresemana,tarde,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1995.jpg,37.74892,-3.6959341049470975
Dionne Janzen,30,hombre,Lugo,"Valadouro, o",estresemana,tarde,bar,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1104.jpg,43.549101,-7.4605209
Cayle Akchar,32,hombre,Tarragona,Vallclara,estresemana,mañana,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/446.jpg,41.3774766,0.982585
Brad Aquilina,73,mujer,Zamora,Fuentesecas,estresemana,noche,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/597.jpg,41.6305782,-5.4728015
Beatrice Urdininea,50,mujer,Almeria,Dalías,estresemana,noche,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/619.jpg,36.8214576,-2.8702064
Fredrica Shahdadpuri,83,hombre,Castellon,Torralba del pinar,estresemana,tarde,bar,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1387.jpg,39.9887744,-0.4382786
Cathryn Kovaci,83,otro,La_rioja,Baños de rioja,estresemana,tarde,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1615.jpg,42.5118917,-2.9459867
Ibraheem Vandewalle,93,otro,La_rioja,Cervera del río alhama,find de semana,noche,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1218.jpg,42.0058319,-1.9554794
Sharley Biern,94,hombre,Leon,Villamejil,estresemana,noche,disco,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/473.jpg,42.5624519,-6.0246299
Nuvia Queixalos,43,hombre,Granada,Benalúa,estresemana,tarde,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1992.jpg,37.3499272,-3.1690217
Shauntee Omañas,89,hombre,Burgos,Madrigal del monte,estresemana,tarde,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/702.jpg,42.1446198,-3.675334
Jennalee Monjon,41,hombre,Valencia,Catarroja,estresemana,noche,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1480.jpg,39.4033747,-0.4028759
Jeanell Pocull,36,otro,Lleida,Bossòst,estresemana,noche,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1119.jpg,42.7859893,0.69312
Kema Boucenna,27,mujer,Santa_cruz_de_tenerife,Buenavista del norte,find de semana,noche,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1568.jpg,28.3721177,-16.8512557
Karel Profeta,38,mujer,Valencia,Picassent,find de semana,mañana,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/770.jpg,39.363519,-0.4611789
Quincey Otiña,18,otro,Salamanca,Matilla de los caños del río,estresemana,mañana,disco,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1453.jpg,40.8250251,-5.9429224
Jaemi Leech,67,mujer,Avila,Mengamuñoz,estresemana,tarde,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1865.jpg,40.5009847,-4.9986341
Shreya Montaut,96,hombre,Ceuta,Ceuta,estresemana,mañana,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1614.jpg,35.89442195,-5.355817352394269
Sariah Genestra,48,otro,Alava,Zigoitia,estresemana,tarde,disco,playa,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/773.jpg,42.9568048,-2.7350578
Briannon Guada,34,mujer,Leon,Pozuelo del páramo,find de semana,tarde,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1177.jpg,42.1711922,-5.7691015
Venus Ubiñana,29,otro,Toledo,Villaseca de la sagra,estresemana,noche,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/337.jpg,39.9623605,-3.8829959
Hillari Oubali,55,hombre,Ceuta,Ceuta,find de semana,mañana,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/582.jpg,35.89442195,-5.355817352394269
Mana Sivori,89,mujer,Guipuzcoa,Antzuola,estresemana,noche,bar,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/815.jpg,43.0985941,-2.3810959
Tedi Cuciuc,42,mujer,Granada,Víznar,estresemana,noche,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1476.jpg,37.2312071,-3.5539201
Mery Addo,26,hombre,Murcia,Pliego,find de semana,mañana,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1734.jpg,37.9884543,-1.5061409
Daniella Mogan,79,otro,Cordoba,Alcaracejos,find de semana,noche,disco,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/564.jpg,38.3893241,-4.9673657
Cuyler Do nacimiento,59,hombre,Badajoz,Badajoz,find de semana,tarde,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/914.jpg,38.88964355,-6.980142450723942
Phong Chouaib,60,hombre,Almeria,"Tres villas, las",estresemana,tarde,bar,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1120.jpg,-30.0071346,-71.2785459
Yisrael Justino,84,otro,Melilla,Melilla,find de semana,mañana,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1356.jpg,35.29291145,-2.950720236037561
Jahn Enriquez de salamanca,22,mujer,Ceuta,Ceuta,find de semana,mañana,bar,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1575.jpg,35.89442195,-5.355817352394269
Homer De matteis,21,hombre,Badajoz,Corte de peleas,estresemana,mañana,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1650.jpg,38.7253775,-6.6710101
Derren Goudiaby,37,otro,Huesca,Azanuy-alins,find de semana,noche,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1298.jpg,41.9733064,0.3119162
Linde Reddy,70,hombre,Toledo,Sartajada,find de semana,noche,disco,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/797.jpg,40.2128437,-4.7930823
Lorri Khamlich,68,mujer,Malaga,Yunquera,find de semana,noche,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1884.jpg,36.7346372,-4.9205956
Annice Llaser,57,hombre,Lugo,"Corgo, o",estresemana,mañana,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1969.jpg,42.9324218,-7.4231341
Carvell Van vliet,76,otro,Segovia,Ortigosa de pestaño,find de semana,tarde,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1267.jpg,41.0875411,-4.3947242
Travers Matinero,82,mujer,Leon,Bembibre,find de semana,tarde,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1351.jpg,42.615398,-6.416971
Quran Ambuludi,74,otro,Guipuzcoa,Gaztelu,find de semana,mañana,bar,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/608.jpg,43.1164447,-2.0228291
Renetta Yock,25,otro,Castellon,Sacañet,estresemana,noche,disco,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/523.jpg,39.8521576,-0.7144275
Ayonna Kuzyk,96,otro,Barcelona,Avià,find de semana,mañana,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/82.jpg,42.0774337,1.8221304
Neal Errington,91,otro,Huelva,Zufre,estresemana,noche,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1155.jpg,37.8338999,-6.3388735
Dace De la pena,83,hombre,Granada,Bérchules,estresemana,tarde,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/596.jpg,36.9751315,-3.1906736
Jackilyn Sanchez muñoz,32,mujer,Ourense,Punxín,estresemana,tarde,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/922.jpg,42.3768867,-8.0147576
Leonila Nogar,55,otro,A_coruna,"Capela, a",estresemana,tarde,bar,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1343.jpg,-9.415041,-36.082583
Dewayne El biad,19,mujer,Ourense,San xoán de río,find de semana,mañana,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1432.jpg,42.382298649999996,-7.300232922172963
Deryck Amico,52,otro,Alava,Elburgo/burgelu,estresemana,tarde,bar,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/503.jpg,42.8495927,-2.5448025
Anastasia Ganduxer,96,hombre,Soria,Torlengua,find de semana,mañana,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1201.jpg,41.4548153,-2.1622235
Crystall Orlov,97,hombre,Cordoba,Adamuz,estresemana,mañana,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1807.jpg,38.0269999,-4.5245275
Haneef Gallues,76,otro,Cantabria,Villafufre,find de semana,noche,disco,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1820.jpg,43.266473,-3.892813
Shania Chorna,51,hombre,Vizcaya,Forua,find de semana,mañana,bar,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1206.jpg,43.3329632,-2.6761163
Tavoris Floristean,55,hombre,Badajoz,Rena,find de semana,noche,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/662.jpg,48.1113387,-1.6800198
Piera Chinga,36,mujer,Malaga,Cútar,find de semana,noche,bar,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1460.jpg,36.8310343,-4.2287632
Jamillah Fernandez daza,29,mujer,Girona,Hostalric,find de semana,tarde,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1283.jpg,41.7451889,2.6330963
Jeralynn Aitchison,59,otro,Jaen,Baeza,find de semana,mañana,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1212.jpg,37.9945171,-3.4708163
Destini Grumazescu,52,hombre,Girona,Camós,estresemana,noche,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/659.jpg,42.0938831,2.7674256
Nicodemus Frontana,56,hombre,Zaragoza,Plasencia de jalón,estresemana,noche,bar,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1963.jpg,41.6811352,-1.2297309
Vennessa Lapeyre,96,otro,Huesca,Castillazuelo,find de semana,tarde,disco,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1584.jpg,42.068633,0.0647387
Damorris Hagel,61,mujer,Melilla,Melilla,find de semana,noche,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/834.jpg,35.29291145,-2.950720236037561
Nyles Apopei,66,hombre,La_rioja,Cornago,find de semana,tarde,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1320.jpg,42.0657909,-2.093952
Magdalena Rosner,48,otro,Girona,Colera,estresemana,tarde,disco,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/720.jpg,42.4036867,3.1489254
Braulio Valcea,96,otro,Santa_cruz_de_tenerife,Garachico,estresemana,mañana,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/444.jpg,28.373686,-16.7640491
Jessa Villaba,67,mujer,Segovia,Navares de enmedio,find de semana,mañana,bar,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1364.jpg,41.3822698,-3.7203865
Jontay Perez ayala,71,hombre,Girona,Palamós,find de semana,noche,bar,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1557.jpg,41.8495354,3.1278785
Audrea Martrus,25,hombre,Guadalajara,Brihuega,find de semana,noche,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1182.jpg,40.7592489,-2.8703477
Tarika Velychko,74,mujer,Soria,Santa maría de huerta,estresemana,noche,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1128.jpg,41.2627178,-2.1756016
Huston Gonjar,38,mujer,Lleida,"Pobla de cérvoles, la",estresemana,tarde,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/845.jpg,41.3838973,0.897214
Moraima Masters,59,otro,Pontevedra,Vigo,estresemana,tarde,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/586.jpg,42.2376602,-8.7247205
Chelcy Irurueta,41,otro,Cadiz,"Barrios, los",estresemana,noche,disco,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1811.jpg,42.3429752,-3.7013613
Ly Todorescu,81,otro,Valencia,Piles,estresemana,mañana,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1593.jpg,38.9407693,-0.1325845
Amberly Purizaca,49,otro,Lugo,Viveiro,find de semana,tarde,bar,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1038.jpg,43.6621876,-7.5949829
Myriam Gonzalez pecellin,57,mujer,Huelva,Zufre,estresemana,noche,disco,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/933.jpg,37.8338999,-6.3388735
Shawntavia Tiesta,39,mujer,Huelva,Hinojos,find de semana,mañana,disco,playa,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1603.jpg,37.2922174,-6.3794314
Jessic Hillman,39,hombre,Valladolid,Melgar de abajo,find de semana,noche,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1871.jpg,42.2432398,-5.1421583
Tashawn El machkouri,70,hombre,Palencia,"Serna, la",find de semana,tarde,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/383.jpg,42.5011386,-2.5064614
Tonyia Chircu,25,hombre,Navarra,Cortes,estresemana,noche,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/222.jpg,41.9235302,-1.4206848
Jalynn Wojciech,94,hombre,Alava,Armiñón,find de semana,tarde,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1139.jpg,42.722587,-2.8722115
Shannara Del corte,29,hombre,Castellon,Sueras/suera,estresemana,mañana,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1007.jpg,39.9523408,-0.3323121
Roshanna Esgueda,54,hombre,Girona,Rupià,estresemana,tarde,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/524.jpg,42.0207872,3.0105902
Anela Miholca,74,mujer,La_rioja,Alcanadre,estresemana,noche,bar,montaña,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/263.jpg,42.405104,-2.1198668
Juri Lostres,33,mujer,Jaen,Castillo de locubín,find de semana,noche,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1126.jpg,37.5279563,-3.9422486
Casper Lecca,63,mujer,Toledo,Illescas,find de semana,tarde,disco,montaña,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/337.jpg,40.1248436,-3.8492688
Michae Kaychouh,27,otro,Sevilla,Castilleja de la cuesta,find de semana,tarde,bar,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1320.jpg,37.3867839,-6.054127
Karlos Borroho,46,hombre,Huesca,Valle de lierp,find de semana,mañana,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/928.jpg,42.38288045,0.48957352849517655
Ngozi Frison,25,mujer,Pontevedra,Meaño,find de semana,mañana,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1599.jpg,42.4452125,-8.7825181
Mao Ulargui,25,hombre,Ceuta,Ceuta,estresemana,mañana,bar,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/993.jpg,35.89442195,-5.355817352394269
Delilah San teodoro,63,otro,Jaen,Siles,estresemana,mañana,disco,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1353.jpg,38.3878613,-2.5826373
Donathan Reigal,76,otro,Barcelona,Canovelles,estresemana,mañana,bar,playa,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1626.jpg,41.6173948,2.28288
Phylicia Olaziregi,68,hombre,Burgos,"Altos, los",find de semana,noche,bar,montaña,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/472.jpg,43.3050014,0.2646316
Clarrisa Gordan,55,mujer,Palencia,Guaza de campos,estresemana,noche,bar,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1310.jpg,42.133496,-4.9092466
Liem Munive,44,otro,Almeria,Pechina,estresemana,tarde,disco,montaña,disco,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1993.jpg,36.916512,-2.4402474
Kimanh Mich,44,otro,Jaen,Chilluévar,find de semana,tarde,disco,playa,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1996.jpg,38.0018558,-3.0314178
Nithya Zarouki,39,hombre,Lugo,Ribeira de piquín,estresemana,noche,disco,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/980.jpg,43.19849705,-7.200319473792927
Aja Tarquis,98,mujer,Murcia,Torre-pacheco,estresemana,noche,disco,playa,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/485.jpg,37.743133,-0.9539015
Lorah Llonis,60,otro,Zaragoza,Berdejo,find de semana,mañana,disco,playa,bar,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/157.jpg,41.5614288,-1.9441486
Valdemar Peranton,74,hombre,Barcelona,Monistrol de calders,estresemana,tarde,disco,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1809.jpg,41.7608379,2.0146236
Opal Banuta,23,mujer,Cantabria,Reocín,estresemana,noche,bar,montaña,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1392.jpg,43.35017945,-4.115622211730858
Atlantis Flichi,43,mujer,Tarragona,"Borges del camp, les",find de semana,mañana,disco,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1445.jpg,41.1718274,1.020579963905229
Ysabel Lopez lillo,72,mujer,Sevilla,"Pedroso, el",find de semana,tarde,bar,montaña,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1533.jpg,42.686699,-8.0038154
Patrece Tsekova,43,otro,Ourense,Cualedro,estresemana,tarde,disco,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/928.jpg,41.9885728,-7.593898
Kristalynn Aguila collantes,60,mujer,Guipuzcoa,Urretxu,estresemana,tarde,disco,montaña,bar,gatos,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/438.jpg,43.0920435,-2.3170309
Minerva Elder,54,mujer,Lleida,"Seu d'urgell, la",estresemana,noche,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1316.jpg,42.35734445,1.462152658645443
Krystil Berreteaga,94,otro,Castellon,Ribesalbes,find de semana,tarde,bar,playa,disco,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/393.jpg,40.0223607,-0.2785144
Valente Hamudi,26,hombre,Barcelona,Aiguafreda,find de semana,tarde,bar,montaña,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1275.jpg,41.7692525,2.2517162
Mirissa Muzyka,38,otro,Malaga,Totalán,find de semana,mañana,disco,montaña,disco,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/541.jpg,36.7651731,-4.297405
Braylon Dlimi,71,mujer,Almeria,"Ejido, el",estresemana,noche,bar,montaña,disco,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1561.jpg,37.6311402,-6.1661858
Teon Duraho,77,mujer,Albacete,Fuente-álamo,find de semana,noche,bar,playa,bar,gatos,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/377.jpg,38.7053213,-1.4492230913225232
Emmaline Diouani,47,otro,A_coruna,Carnota,find de semana,mañana,bar,playa,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1829.jpg,42.821959,-9.0878032
Karilyn Tablero,79,otro,Leon,Borrenes,find de semana,tarde,disco,playa,bar,perros,deporte,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/198.jpg,42.4918575,-6.7266298
Kodey Ghiuta,35,mujer,Caceres,Alagón del río,estresemana,mañana,disco,montaña,bar,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/600.jpg,39.9734357,-6.3171133
Mckinley Bastarrika,63,otro,Islas_baleares,Sant joan de labritja,estresemana,tarde,bar,montaña,disco,perros,netflix,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1206.jpg,39.0761278,1.5091732
Patrice Barges,96,otro,Albacete,Corral-rubio,find de semana,tarde,bar,playa,disco,gatos,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1699.jpg,38.835314749999995,-1.4607876735607912
Kimia Gafton,18,hombre,Tarragona,Torroja del priorat,estresemana,tarde,bar,playa,bar,perros,salir,/home/veggiedev/Curso-Python/Django/buscoAmigos/templates/buscoAmigosApp/Images/1507.jpg,41.2137282,0.8114396
